


whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo

jzhang@jzhangs-MacBook-Pro tmp2 % whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo
100%|█████████████████████████████████████| 1.51G/1.51G [03:59<00:00, 6.75MiB/s]
[29:32.800 --> 29:33.840] 现在是井啊
[29:33.840 --> 29:35.620] 只是知道这个
[29:35.620 --> 29:36.340] 这个
[29:36.340 --> 29:37.620] 知道而已啊
[29:37.620 --> 29:39.820] 那这个我们平时不知道吗
[29:39.820 --> 29:40.800] 平时不知道啊
[29:40.800 --> 29:41.920] 平时我们不知道
[29:41.920 --> 29:43.360] 我现在是动还是井
[29:43.360 --> 29:45.960] 我们一直都是往外面啊
[29:45.960 --> 29:47.460] 去思考啊
[29:47.460 --> 29:48.860] 外面的这些东西好呀
[29:48.860 --> 29:49.800] 不好呀啊
[29:49.800 --> 29:51.020] 就是去思考
[29:51.020 --> 29:53.660] 我现在我自己和经和东
[29:53.660 --> 29:54.520] 根本就不去
[29:54.520 --> 29:55.620] 不去啊
[29:55.620 --> 29:55.960] 不去啊
[29:55.960 --> 29:56.820] 不去载
[29:56.820 --> 29:58.820] 从来也不去看这个啊
[29:58.820 --> 29:59.360] 所以呢
[29:59.360 --> 30:00.600] 我们也感觉不到
[30:00.600 --> 30:02.240] 我自己的东和绝
[30:02.240 --> 30:04.760] 只是只看到外面的
[30:04.760 --> 30:06.980] 刚才我们讲了啊
[30:06.980 --> 30:09.020] 这个金头在外面的时候呢
[30:09.020 --> 30:10.320] 就派到很多很多人
[30:10.320 --> 30:11.760] 往里面的时候呢
[30:11.760 --> 30:13.360] 那用里面的金头啊
[30:13.360 --> 30:15.180] 那就就派我自己了啊
[30:15.180 --> 30:17.300] 现在是在用里面的金头啊
[30:17.300 --> 30:18.900] 没有用外面的金头
[30:18.900 --> 30:19.600] 所以呢
[30:19.600 --> 30:20.800] 冬啊
[30:20.800 --> 30:21.860] 冬的时候呢
[30:21.860 --> 30:24.520] 你知道这个冬的这个状态啊
[30:24.520 --> 30:25.920] 全过程啊
[30:25.920 --> 30:27.640] 非常清楚啊
[30:27.640 --> 30:29.080] 静的时候呢
[30:29.080 --> 30:29.620] 啊
[30:29.620 --> 30:32.020] 也就不需要特别特刻意的
[30:32.020 --> 30:34.020] 做什么调整啊
[30:34.020 --> 30:34.820] 然后呢
[30:34.820 --> 30:36.060] 静的时候呢
[30:36.060 --> 30:37.360] 也就知道啊
[30:37.360 --> 30:39.820] 这就是很很平静的啊
[30:39.820 --> 30:40.960] 这样子看着他
[30:40.960 --> 30:43.900] 看我自己的心啊
[30:43.900 --> 30:44.800] 然后呢
[30:44.800 --> 30:45.580] 他一会儿呢
[30:45.580 --> 30:47.140] 有这个听啊
[30:47.140 --> 30:48.300] 又是金啊
[30:48.300 --> 30:48.760] 然后呢
[30:48.760 --> 30:49.420] 又是东
[30:49.420 --> 30:50.040] 然后呢
[30:50.040 --> 30:50.740] 东完了以后
[30:50.740 --> 30:51.700] 又是金啊
[30:51.700 --> 30:53.540] 他一直都在一个这样子的
[30:53.540 --> 30:55.760] 不断的这个变化啊
[30:55.760 --> 30:58.200] 但这个这个变化的过程当中呢
[30:58.200 --> 30:59.700] 我我自己呢
[30:59.700 --> 30:59.960] 啊
[30:59.960 --> 31:01.020] 一直都就
[31:01.020 --> 31:04.440] 作为一个旁观者啊
[31:04.440 --> 31:05.760] 作为一个第三者
[31:05.760 --> 31:07.700] 旁观者的角度去看啊
[31:07.700 --> 31:09.080] 第三人成啊
[31:09.080 --> 31:11.200] 这样子去看看他啊
[31:11.200 --> 31:12.540] 那就可以了啊
[31:12.540 --> 31:13.460] 那但是呢
[31:13.460 --> 31:14.380] 这个大家要知道
[31:14.380 --> 31:15.720] 我把这个字啊
[31:15.720 --> 31:17.000] 把它变成轰的
[31:17.000 --> 31:18.320] 意思就是说
[31:18.320 --> 31:20.660] 这个母前啊
[31:20.660 --> 31:22.060] 还没有绝
[31:22.060 --> 31:23.400] 这个里面没有绝
[31:23.400 --> 31:24.600] 没有物啊
[31:24.600 --> 31:25.140] 所以呢
[31:25.140 --> 31:25.800] 这个呢
[31:25.800 --> 31:26.860] 只能
[31:26.860 --> 31:28.600] 他的结果呢
[31:28.600 --> 31:29.660] 修得好的话
[31:29.660 --> 31:31.200] 他的结果就是一个
[31:31.200 --> 31:32.360] 一个什么呢
[31:32.360 --> 31:33.400] 就是一个
[31:33.400 --> 31:33.960] 这个
[31:33.960 --> 31:34.940] 这个机制
[31:34.940 --> 31:36.000] 这样子
[31:36.000 --> 31:38.100] 然后呢
[31:38.100 --> 31:40.060] 那这个修了有什么用呢
[31:40.060 --> 31:42.340] 就是麦彭仁波切就说啊
[31:42.340 --> 31:42.880] 如此
[31:42.880 --> 31:44.000] 持续
[31:44.000 --> 31:44.840] 不持啊
[31:44.840 --> 31:46.000] 坚持啊
[31:46.000 --> 31:46.720] 坚持
[31:46.720 --> 31:47.800] 这个这个这个
[31:47.800 --> 31:49.700] 这个刚才讲的这种方法啊
[31:49.700 --> 31:50.820] 这样子的话呢
[31:50.820 --> 31:52.620] 自己便能
[31:52.620 --> 31:53.460] 撂直
[31:53.460 --> 31:54.780] 刺恶药啊
[31:54.780 --> 31:56.380] 那这用什么恶药呢
[31:56.380 --> 31:57.140] 他就说
[31:57.140 --> 31:59.000] 这么我们去
[31:59.000 --> 32:03.460] 平时这么去观察自己的心的这个动态啊
[32:03.460 --> 32:05.580] 去看这个心的这个动态
[32:05.580 --> 32:06.880] 这样子以后呢
[32:06.880 --> 32:09.060] 我们最后就会发现啊
[32:09.060 --> 32:10.200] 细路哀乐
[32:10.200 --> 32:11.600] 细路哭乐
[32:11.600 --> 32:13.280] 所有的这些
[32:13.280 --> 32:13.620] 这些
[32:13.620 --> 32:14.880] 这些念头啊
[32:14.880 --> 32:17.040] 种种的现象啊
[32:17.040 --> 32:18.840] 各种各样的这些念头
[32:18.840 --> 32:21.320] 借从自心起啊
[32:21.320 --> 32:23.280] 全部都是从自己的这个
[32:23.280 --> 32:24.580] 这个阿雷耶使啊
[32:24.580 --> 32:26.100] 或者是自己的这个
[32:26.100 --> 32:27.660] 这个如来藏当中
[32:27.660 --> 32:28.920] 这个产生了
[32:28.920 --> 32:30.080] 产生了啊
[32:30.080 --> 32:31.560] 产生了一会儿呢
[32:31.560 --> 32:33.180] 产生了以后呢
[32:33.180 --> 32:35.700] 然后就很快啊
[32:35.700 --> 32:35.960] 就
[32:35.960 --> 32:37.820] 重有融入自心
[32:37.820 --> 32:39.480] 又很快有融入了啊
[32:39.480 --> 32:41.760] 他跟就是有些时候啊
[32:41.760 --> 32:43.660] 有些时候我们看这个
[32:43.660 --> 32:46.880] 这个这个啊
[32:46.880 --> 32:49.480] 比如说扇上的这个云啊
[32:49.480 --> 32:51.120] 天空中的云
[32:51.120 --> 32:52.480] 云啊
[32:52.480 --> 32:53.960] 扇上的乌
[32:53.960 --> 32:55.960] 然后呢
[32:55.960 --> 33:00.040] 用这个用这个这个摄像机啊
[33:00.040 --> 33:02.500] 慢速度的去拍啊
[33:02.500 --> 33:04.380] 慢速度的去拍啊
[33:04.380 --> 33:05.260] 然后呢
[33:05.260 --> 33:06.940] 到时候拍完了以后呢
[33:06.940 --> 33:08.740] 正常的速度一放啊
[33:08.740 --> 33:11.100] 然后他这个一会儿有这个啊
[33:11.100 --> 33:12.840] 一会儿有产生了这个
[33:12.840 --> 33:14.340] 这个一个云多啊
[33:14.340 --> 33:14.880] 然后呢
[33:14.880 --> 33:16.380] 立即有这个消失了
[33:16.380 --> 33:18.540] 一会儿有这个这座山啊
[33:18.540 --> 33:20.580] 整个全部都是屋啊
[33:20.580 --> 33:21.340] 然后呢
[33:21.340 --> 33:22.000] 一会儿呢
[33:22.000 --> 33:23.260] 这个屋有全都没有
[33:23.260 --> 33:24.200] 又是又是又是
[33:24.200 --> 33:25.780] 山又出来了啊
[33:25.780 --> 33:26.960] 这个很快很快
[33:26.960 --> 33:28.640] 这个速度是非常快的啊
[33:28.640 --> 33:29.800] 那同样的
[33:29.800 --> 33:31.680] 我们往里面一看的时候呢
[33:31.680 --> 33:33.540] 那我们的心也是
[33:33.540 --> 33:35.680] 跟这个是一模一样的啊
[33:35.680 --> 33:37.280] 这个时候呢
[33:37.280 --> 33:39.480] 一旦了知啊
[33:39.480 --> 33:41.580] 如果知道这个这个这个这个
[33:41.580 --> 33:42.340] 这个秘密
[33:42.340 --> 33:44.680] 我们刚才讲的这个新的秘密
[33:44.680 --> 33:45.880] 或者新的奥秘
[33:45.880 --> 33:48.120] 其中一个奥秘就是这个啊
[33:48.120 --> 33:51.140] 一旦知道了这个状态的时候呢
[33:51.140 --> 33:54.100] 然后既能止止啊
[33:54.100 --> 33:55.480] 以且现现
[33:55.480 --> 33:58.340] 借时心止止现
[33:58.340 --> 34:00.700] 实际上就是我们的心里面的这个
[34:00.700 --> 34:01.580] 开心啊
[34:01.580 --> 34:02.840] 不开心啊
[34:02.840 --> 34:04.440] 嫉妒啊
[34:04.440 --> 34:05.600] 傲慢啊
[34:05.600 --> 34:06.940] 自卑啊
[34:06.940 --> 34:08.740] 就是愚亡啊
[34:08.740 --> 34:09.380] 愤怒啊
[34:09.380 --> 34:12.540] 实际上这些都是就是我自己心里面的一种
[34:12.540 --> 34:14.440] 一个一个一个动态
[34:14.440 --> 34:14.840] 啊
[34:14.840 --> 34:15.540] 啊
[34:15.540 --> 34:15.840] 那么
[34:15.840 --> 34:17.900] 很多这些东西呢
[34:17.900 --> 34:19.640] 跟外界是没有太大的
[34:19.640 --> 34:21.400] 太大的关系啊
[34:21.400 --> 34:21.440] 啊
[34:21.440 --> 34:24.400] 这是我自己的心的一个一个变化而已
[34:24.400 --> 34:24.740] 所以呢
[34:24.740 --> 34:25.740] 这个时候呢
[34:25.740 --> 34:28.140] 深深地体会到我没有必要去
[34:28.140 --> 34:30.900] 过度地去在乎这个啊
[34:30.900 --> 34:32.500] 因为它就这么快就出来
[34:32.500 --> 34:33.140] 又这么快
[34:33.140 --> 34:34.340] 又消失了
[34:34.340 --> 34:35.040] 所以呢
[34:35.040 --> 34:37.340] 我不应该啊
[34:37.340 --> 34:43.200] 不应该这个跟随这些念头啊
[34:43.200 --> 34:45.160] 真去跟随这些念头
[34:45.160 --> 34:46.680] 然后就是生气
[34:46.680 --> 34:48.180] 然后就骂人啊
[34:48.180 --> 34:50.060] 然后就去大人啊
[34:50.060 --> 34:51.720] 就是没有必要
[34:51.720 --> 34:52.820] 这个时候呢
[34:52.820 --> 34:55.120] 就是非常清楚的知道
[34:55.120 --> 34:56.260] 这些都是啊
[34:56.260 --> 34:57.400] 以所有的这些
[34:57.400 --> 35:00.340] 这个系路爱乐啊
[35:00.340 --> 35:02.520] 都是我自己内心的一个变化
[35:02.520 --> 35:04.960] 这就是一个天气的这个变化一样
[35:04.960 --> 35:07.140] 没有必要去在乎这个啊
[35:07.140 --> 35:09.040] 一下子就明白了啊
[35:09.040 --> 35:09.740] 然后呢
[35:09.740 --> 35:11.140] 这么去修啊
[35:11.140 --> 35:13.500] 那这个就是一个非常好的一个禅
[35:13.500 --> 35:16.100] 一个这个极致的修法
[35:16.100 --> 35:16.580] 哎
[35:16.580 --> 35:18.280] 这是我们今天呢啊
[35:18.280 --> 35:20.160] 讲的这个第一个内容了
[35:20.160 --> 35:20.720] 啊
[35:20.720 --> 35:21.340] 下面呢
[35:21.340 --> 35:25.200] 它的最重要的就是这个啊
[35:25.200 --> 35:27.920] 这个大家一定一定要注意啊
[35:27.920 --> 35:30.320] 那么这个诸和懂啊
[35:30.320 --> 35:33.500] 那前面我们用的是这个字啊
[35:33.500 --> 35:35.020] 这是这个用的字呢
[35:35.020 --> 35:36.120] 这个红色的字呢
[35:36.120 --> 35:37.420] 就是指啊
[35:37.420 --> 35:38.440] 那这个地方呢
[35:38.440 --> 35:39.600] 不是指啊
[35:39.600 --> 35:40.740] 这个地方就是觉
[35:40.740 --> 35:42.620] 那觉悟了啊
[35:42.620 --> 35:45.000] 觉悟了就是正悟了啊
[35:45.000 --> 35:46.700] 那其后啊
[35:46.700 --> 35:48.660] 就是前面的这个这个这个这个
[35:48.660 --> 35:49.800] 禅修啊
[35:49.800 --> 35:50.760] 基指的这个
[35:50.760 --> 35:52.220] 基指的
[35:52.220 --> 35:53.880] 输于基指的这个
[35:53.880 --> 35:55.760] 这个主动啊
[35:55.760 --> 35:56.680] 这个指
[35:56.680 --> 35:57.340] 啊
[35:57.340 --> 35:58.940] 这三个
[35:58.940 --> 36:00.380] 完了以后呢
[36:00.380 --> 36:00.700] 啊
[36:00.700 --> 36:02.660] 然后就就修这个啊
[36:02.660 --> 36:03.580] 修这个方法
[36:03.580 --> 36:04.060] 啊
[36:04.060 --> 36:05.300] 或者是我们比如说
[36:05.300 --> 36:06.340] 之前啊
[36:06.340 --> 36:06.860] 四家经
[36:06.860 --> 36:07.460] 吴家经
[36:07.460 --> 36:08.960] 还有这个基指啊
[36:08.960 --> 36:10.260] 都已经修过了
[36:10.260 --> 36:11.420] 那这样子的话呢
[36:11.420 --> 36:12.960] 那也就直接修这个啊
[36:12.960 --> 36:13.260] 直接修这个啊
[36:13.260 --> 36:14.560] 直接修这个也是可以的
[36:14.560 --> 36:17.120] 然后那跟现在
[36:17.120 --> 36:20.160] 刚才跟我们现在是有什么样的不一样呢
[36:20.160 --> 36:20.640] 啊
[36:20.640 --> 36:22.840] 前面的这个东啊
[36:22.840 --> 36:23.080] 这个
[36:23.080 --> 36:23.900] 主
[36:23.900 --> 36:24.440] 东
[36:24.440 --> 36:24.960] 直
[36:24.960 --> 36:26.260] 这三个当中呢
[36:26.260 --> 36:28.040] 这个直啊
[36:28.040 --> 36:30.520] 他就是知道这个表面的
[36:30.520 --> 36:32.120] 比如说我们的啊
[36:32.120 --> 36:34.500] 这个内心的这个东台
[36:34.500 --> 36:36.040] 变化啊
[36:36.040 --> 36:37.520] 他知道就可以了啊
[36:37.520 --> 36:38.480] 没有别的了
[36:38.480 --> 36:39.760] 那现在啊
[36:39.760 --> 36:41.240] 光是知道还不信啊
[36:41.240 --> 36:44.880] 现在有一个是非常非常重要的一个方法啊
[36:44.880 --> 36:47.460] 比如说我们这样子静下来啊
[36:47.460 --> 36:48.140] 然后呢
[36:48.140 --> 36:50.400] 参生了一个念头的时候啊
[36:50.400 --> 36:51.780] 念头的时候呢
[36:51.780 --> 36:55.680] 然后你就盯着这个念头啊
[36:55.680 --> 36:56.380] 眼睛
[36:56.380 --> 36:57.580] 比如说我们就是
[36:57.580 --> 37:00.900] 就是等着眼睛看一个人一样啊
[37:00.900 --> 37:02.840] 就是我不是看人
[37:02.840 --> 37:04.420] 也不是看外面的啊
[37:04.420 --> 37:07.060] 就是也不是用这个眼睛啊
[37:07.060 --> 37:09.500] 但是这个这是一个比喻啊
[37:09.500 --> 37:12.060] 非常非常人真的啊
[37:12.060 --> 37:14.860] 就是看我刚刚啊
[37:14.860 --> 37:16.460] 参生的这个念头
[37:16.460 --> 37:17.640] 看他啊
[37:17.640 --> 37:18.160] 看他
[37:18.160 --> 37:20.400] 一定要看到他的本质
[37:20.400 --> 37:22.300] 不要看到他的表面啊
[37:22.300 --> 37:23.540] 前面的这个
[37:23.540 --> 37:24.440] 这个
[37:24.440 --> 37:26.300] 修法里面啊
[37:26.300 --> 37:28.600] 他看的是这个表面就可以了
[37:28.600 --> 37:30.480] 他知道他现在在东
[37:30.480 --> 37:31.880] 他现在在这个
[37:31.880 --> 37:33.120] 朱啊
[37:33.120 --> 37:34.740] 他现在是金啊
[37:34.740 --> 37:35.900] 现在是东啊
[37:35.900 --> 37:36.480] 就可以了
[37:36.480 --> 37:37.540] 前面是这样子啊
[37:37.540 --> 37:39.840] 现在这个地方还不可以啊
[37:39.840 --> 37:42.400] 金就是要金的时候呢
[37:42.400 --> 37:42.940] 谁
[37:42.940 --> 37:45.000] 啊
[37:45.000 --> 37:47.540] 谁是这个金啊
[37:47.540 --> 37:49.260] 那静者是谁
[37:49.260 --> 37:50.420] 懂的时候呢
[37:50.420 --> 37:52.260] 谁在动啊
[37:52.260 --> 37:53.940] 动者是谁
[37:53.940 --> 37:55.180] 这个要看啊
[37:55.180 --> 37:56.480] 直视
[37:56.480 --> 37:58.780] 就是直接就看到他的这个
[37:58.780 --> 38:00.800] 他的他的本心啊
[38:00.800 --> 38:01.320] 非常的
[38:01.320 --> 38:02.000] 人真的
[38:02.000 --> 38:03.820] 非常关注的啊
[38:03.820 --> 38:05.460] 去看啊
[38:05.460 --> 38:05.500] 啊
[38:05.500 --> 38:06.300] 就是看
[38:06.300 --> 38:07.100] 智慈
[38:07.100 --> 38:08.640] 东指啊
[38:08.640 --> 38:09.020] 啊
[38:09.020 --> 38:11.000] 这个在禅宗里面呢
[38:11.000 --> 38:12.300] 经常就讲这个
[38:12.300 --> 38:13.640] 这个诸人王啊
[38:13.640 --> 38:14.300] 诸人王
[38:14.300 --> 38:15.800] 还有就是这个
[38:15.800 --> 38:16.240] 这个
[38:16.240 --> 38:17.760] 这个参花头的时候
[38:17.760 --> 38:18.400] 不是说
[38:18.400 --> 38:19.500] 这个念
[38:19.500 --> 38:20.020] 念佛
[38:20.020 --> 38:20.860] 念阿弥陀佛
[38:20.860 --> 38:21.700] 然后呢
[38:21.700 --> 38:22.080] 就是
[38:22.080 --> 38:23.220] 就观察
[38:23.220 --> 38:24.100] 念佛
[38:24.100 --> 38:25.340] 这是谁啊
[38:25.340 --> 38:26.560] 谁这个字啊
[38:26.560 --> 38:27.740] 禅宗里面是这样子
[38:27.740 --> 38:28.000] 谁
[38:28.000 --> 38:29.040] 是谁在念呢
[38:29.040 --> 38:29.320] 啊
[38:29.320 --> 38:31.800] 现在这个地方是一样的意思啊
[38:31.800 --> 38:32.480] 就是说
[38:32.480 --> 38:34.940] 我起了一个念头的时候呢
[38:34.940 --> 38:35.880] 谁念
[38:35.880 --> 38:37.760] 谁产生了一个念头呢
[38:37.760 --> 38:39.900] 比如说我在想啊
[38:39.900 --> 38:41.800] 某一件事情的时候呢
[38:41.800 --> 38:42.940] 谁在想呢
[38:42.940 --> 38:43.220] 啊
[38:43.220 --> 38:45.460] 正在想这件事情的
[38:45.460 --> 38:46.060] 这个
[38:46.060 --> 38:47.640] 这个诸人王啊
[38:47.640 --> 38:49.300] 他当时人
[38:49.300 --> 38:50.060] 是谁
[38:50.060 --> 38:50.760] 是谁呢
[38:50.760 --> 38:51.660] 是什么样子呢
[38:51.660 --> 38:51.860] 啊
[38:51.860 --> 38:52.560] 非常
[38:52.560 --> 38:54.080] 认真的这个啊
[38:54.080 --> 38:56.360] 进一步的去看啊
[38:56.360 --> 38:57.440] 光是看啊
[38:57.440 --> 38:58.600] 他现在产生了
[38:58.600 --> 38:59.760] 现在消失了
[38:59.760 --> 39:00.740] 这不够啊
[39:00.740 --> 39:01.320] 不够
[39:01.320 --> 39:03.560] 就是这个就是我们
[39:03.560 --> 39:05.680] 平时我们学中观的时候
[39:05.680 --> 39:07.840] 不就是生一地和世俗地吗
[39:07.840 --> 39:08.160] 啊
[39:08.160 --> 39:09.280] 前面的
[39:09.280 --> 39:10.660] 比如说我的心啊
[39:10.660 --> 39:12.480] 现在单身了啊
[39:12.480 --> 39:13.720] 现在又消失了
[39:13.720 --> 39:14.780] 现在又出来了
[39:14.780 --> 39:17.060] 那么这个都是世俗地啊
[39:17.060 --> 39:18.000] 这都世俗地
[39:18.000 --> 39:19.720] 现在就不是啊
[39:19.720 --> 39:21.120] 现在就生一地
[39:21.120 --> 39:22.880] 看他的本质啊
[39:22.880 --> 39:24.100] 看他的本质
[39:24.100 --> 39:25.940] 光是他现在啊
[39:25.940 --> 39:27.380] 在在东啊
[39:27.380 --> 39:28.220] 现在是
[39:28.220 --> 39:30.200] 是这个诸啊
[39:30.200 --> 39:31.360] 光是这一点啊
[39:31.360 --> 39:32.560] 不行就看啊
[39:32.560 --> 39:33.780] 看他的这个
[39:33.780 --> 39:35.620] 本心啊
[39:35.620 --> 39:36.140] 这样心
[39:36.140 --> 39:36.960] 静下来了以后
[39:36.960 --> 39:37.880] 非常坚荡啊
[39:37.880 --> 39:39.060] 静下来了以后呢
[39:39.060 --> 39:39.660] 就是
[39:39.660 --> 39:43.020] 就安住在非常平静的状态当中
[39:43.020 --> 39:43.680] 然后呢
[39:43.680 --> 39:44.500] 让一个念头
[39:44.500 --> 39:45.740] 让他参生啊
[39:45.740 --> 39:46.500] 参生了
[39:46.500 --> 39:47.700] 参生了以后呢
[39:47.700 --> 39:48.780] 你就心
[39:48.780 --> 39:49.960] 这是我们刚才讲的
[39:49.960 --> 39:51.620] 你就用这个立面的颈头
[39:51.620 --> 39:52.880] 不要用外面的啊
[39:52.880 --> 39:53.740] 然后呢
[39:53.740 --> 39:54.780] 就是让他去看看
[39:54.780 --> 39:55.820] 他看看自己
[39:55.820 --> 39:57.580] 现在不就是一个念头
[39:57.580 --> 39:58.260] 出来了吗
[39:58.260 --> 39:59.600] 那念头是什么呢
[39:59.600 --> 40:01.060] 他的本质是什么呢
[40:01.060 --> 40:02.660] 非常清楚的啊
[40:02.660 --> 40:05.440] 就看他的这个本质啊
[40:05.440 --> 40:06.480] 呃
[40:06.480 --> 40:07.340] 知识
[40:07.340 --> 40:09.320] 或者是我们有些时候呢
[40:09.320 --> 40:10.720] 用这个逆识
[40:10.720 --> 40:12.300] 逆王啊
[40:12.300 --> 40:13.800] 或者是知识啊
[40:13.800 --> 40:15.820] 直接去看他的啊
[40:15.820 --> 40:16.640] 然后呢
[40:16.640 --> 40:18.600] 等着眼睛看一样啊
[40:18.600 --> 40:20.280] 非常认真的去看
[40:20.280 --> 40:22.320] 呃
[40:22.320 --> 40:22.340] 呃
[40:22.340 --> 40:23.440] 呃
[40:23.440 --> 40:24.100] 呃
[40:24.100 --> 40:24.940] 呃
[40:24.940 --> 40:25.580] 然后呢
[40:25.580 --> 40:26.280] 就这么一
[40:26.280 --> 40:28.400] 这么一看的时候呢
[40:28.400 --> 40:29.380] 就是啊
[40:29.380 --> 40:31.700] 就看到他的本心了
[40:31.700 --> 40:32.640] 呃
[40:32.640 --> 40:32.660] 呃
[40:32.660 --> 40:32.940] 呃
[40:32.940 --> 40:33.240] 呃
[40:33.240 --> 40:33.680] 住者
[40:33.680 --> 40:34.340] 活
[40:34.340 --> 40:35.640] 动之啊
[40:35.640 --> 40:35.940] 呃
[40:35.940 --> 40:36.440] 呃
[40:36.440 --> 40:36.460] 他
[40:36.460 --> 40:39.180] 比如说你往一往里面一看的时候呢
[40:39.180 --> 40:41.360] 也许他是非常平静的状态啊
[40:41.360 --> 40:41.660] 呃
[40:41.660 --> 40:43.080] 那如果是平静的话
[40:43.080 --> 40:44.280] 那你就去看
[40:44.280 --> 40:45.900] 平静是什么啊
[40:45.900 --> 40:46.160] 呃
[40:46.160 --> 40:47.900] 谁是平静啊
[40:47.900 --> 40:48.160] 呃
[40:48.160 --> 40:50.120] 平静的是谁啊
[40:50.120 --> 40:50.520] 啊
[40:50.520 --> 40:51.540] 怎么去看啊
[40:51.540 --> 40:53.920] 但是不是不是问这个问题啊
[40:53.920 --> 40:55.140] 问和不问都一样
[40:55.140 --> 40:56.340] 反正你就看啊
[40:56.340 --> 40:57.300] 心里面去看
[40:57.300 --> 40:58.920] 一定要看个清楚
[40:58.920 --> 41:00.400] 呃
[41:00.400 --> 41:02.620] 然后如果是懂啊
[41:02.620 --> 41:03.520] 那也没关系
[41:03.520 --> 41:05.100] 是不是懂一定要静下来
[41:05.100 --> 41:06.220] 不用静下来啊
[41:06.220 --> 41:10.340] 懂就是直接看动的你动态的这个念头啊
[41:10.340 --> 41:13.140] 直接就看动态的这个念头啊
[41:13.140 --> 41:16.220] 就不需要他要把静下来
[41:16.220 --> 41:17.420] 不需要静下来
[41:17.420 --> 41:19.980] 念头他懂就直接
[41:19.980 --> 41:22.280] 看这个正在东啊
[41:22.280 --> 41:24.400] 东台的这个念头
[41:24.400 --> 41:26.160] 这么一看啊
[41:26.160 --> 41:27.000] 一看
[41:27.000 --> 41:29.360] 那么如果啊
[41:29.360 --> 41:30.880] 这个之前
[41:30.880 --> 41:31.780] 斯加星
[41:31.780 --> 41:32.340] 吴加星
[41:32.340 --> 41:34.240] 加星修得非常的好啊
[41:34.240 --> 41:34.760] 然后呢
[41:34.760 --> 41:36.020] 对这个发梗
[41:36.020 --> 41:37.240] 对上师三宝
[41:37.240 --> 41:39.720] 有足够的信心啊
[41:39.720 --> 41:41.220] 这样子的时候呢
[41:41.220 --> 41:43.840] 然后就是看到了他的这个
[41:43.840 --> 41:44.440] 哎
[41:44.440 --> 41:46.060] 本心啊
[41:46.060 --> 41:50.480] 刹破了他的这个标面的这一层啊
[41:50.480 --> 41:52.740] 标面的念头的标层啊
[41:52.740 --> 41:56.360] 然后直接就看到了他的这个啊
[41:56.360 --> 41:57.560] 他的本心
[41:57.560 --> 41:59.760] 看到了他的本心啊
[41:59.760 --> 42:04.060] 在这个时候能不能看到这个本心啊
[42:04.060 --> 42:06.360] 就是这个中间呢
[42:06.360 --> 42:09.940] 就是祈祷决定性的作用的是谁呢
[42:09.940 --> 42:10.240] 啊
[42:10.240 --> 42:13.540] 还不是我们用功和不用功啊
[42:13.540 --> 42:16.660] 还不是我们学的多和不多啊
[42:16.660 --> 42:19.140] 这些跟这些都没有关系啊
[42:19.140 --> 42:21.700] 那直接对什么东西有关系呢
[42:21.700 --> 42:23.260] 对直接有关系的就是
[42:23.260 --> 42:26.200] 忏悔五家星的金刚撒脱
[42:26.200 --> 42:27.200] 做得好不好
[42:27.200 --> 42:28.760] 做得到不到位啊
[42:28.760 --> 42:29.740] 然后呢
[42:29.740 --> 42:30.880] 积累资良
[42:30.880 --> 42:32.500] 菩提心这一类的
[42:32.500 --> 42:32.860] 哎
[42:32.860 --> 42:34.480] 做得够不够啊
[42:34.480 --> 42:37.680] 然后就是上师瑜伽当中讲的啊
[42:37.680 --> 42:39.140] 对上师散包
[42:39.140 --> 42:41.260] 对这个大圆满大收音
[42:41.260 --> 42:44.020] 对弥法的这种心心啊
[42:44.020 --> 42:45.740] 对禅宗也是一样
[42:45.740 --> 42:47.100] 足不足啊
[42:47.100 --> 42:49.860] 这几个条件都都具备啊
[42:49.860 --> 42:51.820] 那么你看啊
[42:51.820 --> 42:54.060] 就是直接就看到了这个
[42:54.060 --> 42:55.720] 他的本心啊
[42:55.720 --> 42:57.560] 就完全就是啊
[42:57.560 --> 43:00.780] 这个错破了他的表层啊
[43:00.780 --> 43:03.360] 穿透了他的表层啊
[43:03.360 --> 43:05.100] 穿透了他的表层
[43:05.100 --> 43:06.460] 直接就看到了
[43:06.460 --> 43:08.960] 他的本心啊
[43:08.960 --> 43:11.620] 他就像一个X光一样
[43:11.620 --> 43:12.500] 比如说X光
[43:12.500 --> 43:13.600] 他衣服呀
[43:13.600 --> 43:14.400] 皮肤呀
[43:14.400 --> 43:15.560] 全部穿透啊
[43:15.560 --> 43:18.000] 就可以看到里面的骨头一样啊
[43:18.000 --> 43:19.440] 那我们的客间光
[43:19.440 --> 43:21.600] 他没有这样子的穿透理
[43:21.600 --> 43:22.840] 看不到啊
[43:22.840 --> 43:25.420] 所以就是我们的心啊
[43:25.420 --> 43:26.640] 我们的念头啊
[43:26.640 --> 43:28.200] 就像客间光一样
[43:28.200 --> 43:30.380] 他他没有那么大的穿透理啊
[43:30.380 --> 43:32.460] 然后这个
[43:32.460 --> 43:34.720] 这个这些条件
[43:34.720 --> 43:35.620] 我们刚才讲的
[43:35.620 --> 43:37.660] 这些条件具备的话啊
